MAL_ID,Studios
1089,Tatsunoko Production
1090,Sunrise
1091,Sunrise
1092,Sunrise
1093,Shin-Ei Animation
1094,Toei Animation
1095,Production I.G
1095,Studio Deen
1096,Production I.G
1096,Production Reed
1097,Studio Hibari
1098,Gonzo
1099,Unknown
1100,J.C.Staff
1101,AIC
1102,Romanov Films
1103,OLM
1104,OLM
1105,Studio 4°C
1106,Studio 4°C
1107,Madhouse
1108,Studio Deen
1109,Madhouse
1110,Actas
1110,SynergySP
1111,Gonzo
1112,Gonzo
1113,Arms
1115,J.C.Staff
1116,Triangle Staff
1117,OLM
1118,OLM
1119,OLM
1120,OLM
1121,OLM
1122,OLM
1123,Toei Animation
1124,Sunrise
1126,OLM
1127,TNK
1128,TNK
1129,TNK
1130,Kaname Productions
1130,Idol
1132,Toei Animation
1133,AIC
1135,Kyoto Animation
1136,Sunrise
1137,Toei Animation
1138,Bee Train
1139,Group TAC
1140,Gonzo
1141,Palm Studio
1142,J.C.Staff
1143,Bee Train
1144,Unknown
1145,Studio Pierrot
1146,AIC
1147,AIC
1148,Madhouse
1149,Gonzo
1150,Triangle Staff
1151,Agent 21
1152,J.C.Staff
1153,Toei Animation
1154,Toei Animation
1155,Gonzo
1156,Gonzo
1157,Gonzo
1158,Chaos Project
1159,Unknown
1160,Unknown
1161,J.C.Staff
1162,J.C.Staff
1163,Studio Pierrot
1164,J.C.Staff
1165,Radix
1166,Radix
1167,Studio Egg
1168,Studio Deen
1169,AIC
1170,J.C.Staff
1171,J.C.Staff
1172,J.C.Staff
1174,Kyoto Animation
1175,J.C.Staff
1176,Unknown
1177,J.C.Staff
1178,AIC
1178,Artmic
1179,Madhouse
1180,Studio Pierrot
1181,Ajia-Do
1182,Triangle Staff
1183,Chaos Project
1184,E&G Films
1185,AIC
1186,AIC
1187,Madhouse
1188,Studio Deen
1189,Studio Deen
1190,Production I.G
1191,Hal Film Maker
1192,Yamato Works
1193,Studio Hibari
1194,ufotable
1195,J.C.Staff
1196,Artland
1198,Trinet Entertainment
1198,Studio Hibari
1199,Ajia-Do
1200,ACC Production
1202,Trans Arts
1203,Unknown
1204,Tamura Shigeru Studio
1205,Unknown
1206,Group TAC
1207,Mushi Production
1208,Toei Animation
1209,Madhouse
1209,Telecom Animation Film
1210,Gonzo
1211,Triangle Staff
1212,Hal Film Maker
1214,Toei Animation
1215,Sunrise
1216,J.C.Staff
1217,Unknown
1218,Daume
1219,Nomad
1220,CoMix Wave Films
1221,Toei Animation
1222,Artland
1223,Unknown
1224,Madhouse
1225,Studio Junio
1226,Sunrise
1227,Studio Signal
1228,Daume
1230,Brain's Base
1231,Hal Film Maker
1232,Zero-G Room
1233,Studio Fantasia
1234,Tokyo Kids
1235,Studio Pierrot
1236,Toei Animation
1237,Toei Animation
1238,Toei Animation
1239,Toei Animation
1240,Toei Animation
1240,Production Reed
1241,Sunrise
1243,Bee Media
1244,J.C.Staff
1245,Madhouse
1245,Production Reed
1246,Artland
1247,A.C.G.T.
1248,Sunrise
1249,Sunrise
1250,Xebec
1251,Gainax
1252,Gainax
1252,Group TAC
1253,Toei Animation
1254,Toei Animation
1255,Toei Animation
1256,Toei Animation
1257,Toei Animation
1258,Toei Animation
1259,Toei Animation
1260,Toei Animation
1261,Tatsunoko Production
1262,AIC
1263,APPP
1264,Sunrise
1265,Sunrise
1266,Sunrise
1267,Sunrise
1268,Madhouse
1269,Madhouse
1270,AIC
1270,animate Film
1271,AIC
1272,Unknown
1273,Arms
1274,Unknown
1275,Unknown
1276,Tokyo Kids
1277,Unknown
1278,Toei Animation
1279,Studio Pierrot
1280,Madhouse
1281,Studio Pierrot
1283,Unknown
1284,Production Reed
1285,Zero-G Room
1286,Zero-G Room
1287,Toei Animation
1287,Studio World
1288,Studio Deen
1289,Sunrise
1290,Madhouse
1292,Gonzo
1293,Studio Pierrot
1293,Studio Deen
1295,Studio Fantasia
1296,APPP
1297,Studio Fantasia
1298,Studio Fantasia
1299,The Answer Studio
1300,APPP
1301,Toei Animation
1302,Toei Animation
1302,Studio World
1303,Madhouse
1303,Studio 4°C
1311,Madhouse
1312,Xebec
1313,Toei Animation
1314,Sunrise
1316,Production I.G
1317,Production I.G
1324,J.C.Staff
1324,Production Reed
1325,Studio Deen
1327,Toei Animation
1328,Gallop
1329,Madhouse
1331,AIC
1332,Unknown
1333,Nippon Animation
1335,Production I.G
1336,Unknown
1337,Toei Animation
1338,J.C.Staff
1339,Unknown
1340,Unknown
1341,Production Reed
1341,D.A.S.T.
1341,Studio 88
1342,Studio 88
1343,Unknown
1344,J.C.Staff
1345,Toei Animation
1346,AIC
1346,Artmic
1347,AIC
1347,Artmic
1347,Darts
1348,Darts
1349,Plum
1350,AIC
1351,D.A.S.T.
1352,Madhouse
1353,Phoenix Entertainment
1355,Unknown
1356,Toei Animation
1357,A.C.G.T.
1358,Toei Animation
1359,Arms
1360,Unknown
1361,Square Enix
1362,Group TAC
1363,TMS Entertainment
1364,TMS Entertainment
1365,TMS Entertainment
1366,TMS Entertainment
1367,TMS Entertainment
1368,TMS Entertainment
1369,TMS Entertainment
1370,Studio Deen
1371,Tezuka Productions
1372,Studio Deen
1373,Tezuka Productions
1374,OLM
1375,Nippon Animation
1376,Toei Animation
1377,Azeta Pictures
1378,J.C.Staff
1379,A.C.G.T.
1380,Unknown
1381,Sunrise
1382,Sunrise
1383,AIC
1384,AIC
1385,Unknown
1386,AT-2
1387,AT-2
1388,AT-2
1389,Arms
1390,Unknown
1391,Sunrise
1392,Sunrise
1393,Sunrise
1394,Sunrise
1395,Sunrise
1396,Sunrise
1397,Production Reed
1398,Production Reed
1399,Production Reed
1400,Production Reed
1401,Studio Jam
1402,Unknown
1403,Unknown
1404,Arms
1405,Unknown
1406,Unknown
1407,Unknown
1408,Imagin
1409,Production I.G
1410,Production I.G
1411,Production Reed
1412,Tokyo Movie Shinsha
1413,TMS Entertainment
1414,TMS Entertainment
1415,Unknown
1416,Tokyo Movie Shinsha
1417,Unknown
1418,TMS Entertainment
1419,Unknown
1420,Unknown
1421,Tokyo Movie Shinsha
1422,TMS Entertainment
1423,Unknown
1424,TMS Entertainment
1425,Tokyo Movie Shinsha
1426,Tokyo Movie Shinsha
1427,TMS Entertainment
1428,Unknown
1429,TMS Entertainment
1430,Tokyo Movie Shinsha
1431,Unknown
1432,Tokyo Movie Shinsha
1433,Tokyo Movie Shinsha
1434,Unknown
1435,Tokyo Movie Shinsha
1436,Unknown
1437,Tokyo Movie Shinsha
1438,Unknown
1439,Unknown
1440,Unknown
1441,Group TAC
1442,Madhouse
1443,AIC
1444,AIC
1445,Tatsunoko Production
1448,Toei Animation
1450,Sunrise
1451,Production Reed
1452,Unknown
1453,Studio Deen
1454,Madhouse
1455,Phoenix Entertainment
1456,TNK
1457,Studio Pierrot
1458,Tatsunoko Production
1459,Tatsunoko Production
1460,Tatsunoko Production
1462,Madhouse
1462,Studio 4°C
1465,Studio Deen
1466,Studio Junio
1466,Annapuru
1468,Studio Pierrot
1469,TMS Entertainment
1470,Sunrise
1471,Sunrise
1472,Sunrise
1473,Sunrise
1474,Sunrise
1474,Production Reed
1475,Sunrise
1476,Sunrise
1477,Sunrise
1478,Unknown
1479,Sunrise
1480,J.C.Staff
1481,Studio Pierrot
1482,TMS Entertainment
1483,Madhouse
1484,J.C.Staff
1485,Studio Pierrot
1486,Gallop
1487,Bee Train
1488,Studio Pierrot
1489,Remic
1490,Planet
1491,Toei Animation
1492,TMS Entertainment
1493,TMS Entertainment
1494,J.C.Staff
1495,Vega Entertainment
1496,Madhouse
1497,Unknown
1498,Group TAC
1499,Unknown
1500,Hal Film Maker
1501,Unknown
1502,AIC
1503,Unknown
1504,Unknown
1505,TMS Entertainment
1506,TMS Entertainment
1508,APPP
1509,Studio Comet
1510,Unknown
1511,Unknown
1512,Unknown
1513,Unknown
1514,TNK
1515,Studio Fantasia
1516,SynergySP
1517,Radix
1519,Madhouse
1520,Tezuka Productions
1521,Tezuka Productions
1524,Production I.G
1525,OLM
1526,OLM
1527,OLM
1528,Artmic
1529,Unknown
1530,Kyoto Animation
1531,J.C.Staff
1532,Zexcs
1533,OLM
1534,Toei Animation
1535,Madhouse
1536,Xebec
1537,Toei Animation
1538,Gonzo
1538,AIC
1539,Group TAC
1540,Group TAC
1540,Studio Junio
1541,APPP
1542,Sunrise
1543,Daume
1544,Brain's Base
1546,Shaft
1547,Shin-Ei Animation
1548,Toei Animation
1549,Toei Animation
1550,Tokyo Movie Shinsha
1552,Unknown
1553,OLM
1554,J.C.Staff
1555,Studio Pierrot
1555,AIC ASTA
1556,Brain's Base
1557,Studio Deen
1558,Unknown
1559,TMS Entertainment
1560,J.C.Staff
1561,TNK
1562,Nippon Animation
1563,TMS Entertainment
1564,OLM
1565,OLM
1566,Production I.G
1567,TMS Entertainment
1568,Studio Hibari
1569,feel.
1570,Artland
1571,J.C.Staff
1572,Mushi Production
1573,Studio Deen
1574,Studio Deen
1575,Sunrise
1576,Sunrise
1577,Studio Deen
1578,Satelight
1579,Yumeta Company
1580,Studio Fantasia
1580,animate Film
1581,OLM
1582,Production Reed
1583,Ishimori Entertainment
1584,Studio Fantasia
1585,Unknown
1586,ufotable
1587,Bones
1588,Zexcs
1589,Palm Studio
