MAL_ID,Licensors
708,Unknown
709,Unknown
710,Unknown
711,Unknown
712,VIZ Media
713,ADV Films
713,Funimation
714,Unknown
715,Media Blasters
718,Media Blasters
719,Unknown
721,ADV Films
721,Sentai Filmworks
722,Unknown
723,Unknown
724,Unknown
725,Unknown
727,Unknown
729,Unknown
730,Unknown
731,Unknown
732,Sentai Filmworks
732,Urban Vision
733,Unknown
734,Media Blasters
736,Media Blasters
738,VIZ Media
740,ADV Films
740,VIZ Media
740,DiC Entertainment
741,Media Blasters
743,GKIDS
744,VIZ Media
746,Unknown
747,Media Blasters
747,Kitty Media
748,Unknown
749,Unknown
750,Unknown
751,Unknown
752,Unknown
753,Media Blasters
754,Unknown
755,Media Blasters
756,Unknown
757,Unknown
758,ADV Films
759,Sony Pictures Entertainment
759,GKIDS
760,Unknown
761,Unknown
762,Unknown
763,VIZ Media
763,Geneon Entertainment USA
764,VIZ Media
765,Unknown
766,Unknown
767,ADV Films
767,Sentai Filmworks
769,ADV Films
770,Unknown
771,Unknown
773,Bandai Entertainment
776,ADV Films
777,Funimation
777,Geneon Entertainment USA
779,Funimation
780,Funimation
781,Funimation
782,ADV Films
782,Nozomi Entertainment
783,Unknown
785,AnimEigo
786,Unknown
788,Media Blasters
789,Maiden Japan
790,Funimation
790,Geneon Entertainment USA
791,Unknown
792,VIZ Media
793,Funimation
795,Unknown
796,Unknown
797,Unknown
798,Unknown
799,Unknown
800,Discotek Media
800,Geneon Entertainment USA
801,Bandai Entertainment
801,Manga Entertainment
807,Funimation
808,ADV Films
810,Unknown
811,VIZ Media
812,Bandai Entertainment
813,Funimation
814,Unknown
815,Unknown
816,Geneon Entertainment USA
817,Unknown
818,ADV Films
819,Unknown
820,Sentai Filmworks
821,Unknown
822,Funimation
822,Tokyopop
823,Unknown
824,Unknown
825,Unknown
827,Unknown
828,Unknown
830,Media Blasters
831,Sentai Filmworks
831,Geneon Entertainment USA
832,Unknown
833,ADV Films
834,Unknown
835,Discotek Media
836,ADV Films
836,Discotek Media
837,Unknown
838,Central Park Media
839,Unknown
840,ADV Films
840,Central Park Media
841,ADV Films
841,Sentai Filmworks
842,ADV Films
844,Discotek Media
845,ADV Films
845,Sentai Filmworks
846,Funimation
848,ADV Films
848,Funimation
849,Funimation
849,Bandai Entertainment
849,Kadokawa Pictures USA
850,Media Blasters
851,Unknown
852,Unknown
853,Funimation
854,Discotek Media
855,Media Blasters
856,ADV Films
856,Funimation
857,ADV Films
857,Funimation
858,Unknown
859,Flatiron Film Company
860,Funimation
860,Geneon Entertainment USA
861,Funimation
863,Media Blasters
864,Unknown
865,Unknown
866,ADV Films
867,ADV Films
868,ADV Films
869,ADV Films
870,ADV Films
870,Discotek Media
872,Media Blasters
873,Funimation
873,Bandai Entertainment
874,Saban Entertainment
874,Flatiron Film Company
875,GKIDS
876,Manga Entertainment
877,VIZ Media
878,Bandai Entertainment
878,Sentai Filmworks
879,Media Blasters
880,ADV Films
880,Funimation
880,NYAV Post
881,Unknown
882,Funimation
882,Media Blasters
883,Central Park Media
884,ADV Films
884,Funimation
884,OLM Digital
885,Anchor Bay Films
886,Nozomi Entertainment
886,Media Blasters
887,Discotek Media
888,Bandai Entertainment
888,Discotek Media
889,Funimation
889,Geneon Entertainment USA
890,Media Blasters
891,Funimation
892,Funimation
893,Funimation
894,Funimation
895,Funimation
896,Funimation
897,Funimation
898,Funimation
899,Funimation
900,Funimation
901,Funimation
902,Funimation
903,Funimation
904,Funimation
905,Funimation
906,Funimation
907,Media Blasters
908,Funimation
909,Bandai Entertainment
910,Maiden Japan
911,Discotek Media
912,Unknown
913,Unknown
914,Central Park Media
915,Unknown
916,Manga Entertainment
917,AnimEigo
918,Sentai Filmworks
918,Crunchyroll
919,Maiden Japan
920,ADV Films
921,Unknown
924,Unknown
925,Unknown
926,Unknown
927,Unknown
928,Unknown
929,ADV Films
929,Sentai Filmworks
930,Maiden Japan
932,Unknown
933,Media Blasters
934,Sentai Filmworks
934,Geneon Entertainment USA
935,Funimation
936,VIZ Media
937,Discotek Media
937,Manga Entertainment
938,Brain's Base
938,Discotek Media
940,Discotek Media
941,Unknown
942,Maiden Japan
943,Unknown
944,Nozomi Entertainment
944,Kadokawa Pictures USA
949,Bandai Visual USA
950,Manga Entertainment
951,Unknown
952,Bandai Entertainment
953,Funimation
956,Discotek Media
957,Funimation
957,Geneon Entertainment USA
958,Funimation
958,Geneon Entertainment USA
959,Unknown
960,Unknown
961,Media Blasters
962,Nozomi Entertainment
963,Funimation
963,Bandai Entertainment
964,Unknown
965,Unknown
966,Funimation
967,Discotek Media
967,Manga Entertainment
968,Unknown
969,Funimation
970,Unknown
971,Unknown
972,Media Blasters
973,Funimation
974,Manga Entertainment
975,Unknown
976,Unknown
977,Media Blasters
978,ADV Films
978,Discotek Media
979,Manga Entertainment
980,Geneon Entertainment USA
981,Unknown
982,ADV Films
983,Unknown
984,Bandai
985,Funimation
986,Funimation
987,Funimation
988,Unknown
989,Unknown
990,Unknown
991,Unknown
992,Geneon Entertainment USA
993,Geneon Entertainment USA
994,Unknown
995,Unknown
996,VIZ Media
997,VIZ Media
997,Geneon Entertainment USA
998,ADV Films
998,Discotek Media
999,ADV Films
999,Discotek Media
1000,Discotek Media
1001,Bandai Entertainment
1002,Discotek Media
1002,Bandai Visual USA
1003,Media Blasters
1003,NYAV Post
1004,ADV Films
1004,Discotek Media
1005,Discotek Media
1005,Geneon Entertainment USA
1006,Funimation
1006,Geneon Entertainment USA
1007,VIZ Media
1008,VIZ Media
1009,Central Park Media
1010,VIZ Media
1011,VIZ Media
1012,Unknown
1013,ADV Films
1013,Funimation
1014,Sentai Filmworks
1014,Geneon Entertainment USA
1015,Funimation
1015,Kadokawa Pictures USA
1016,ADV Films
1017,Sentai Filmworks
1018,Sentai Filmworks
1019,Media Blasters
1020,Media Blasters
1021,Unknown
1022,ADV Films
1023,Funimation
1023,Bandai Entertainment
1024,Unknown
1025,Discotek Media
1025,Geneon Entertainment USA
1026,Media Blasters
1027,Unknown
1028,Unknown
1029,GKIDS
1030,Walt Disney Studios
1030,GKIDS
1031,Unknown
1032,Discotek Media
1033,Eleven Arts
1033,DreamWorks
1034,Maiden Japan
1034,Manga Entertainment
1034,Bandai Visual USA
1035,Unknown
1036,Unknown
1037,Unknown
1038,Unknown
1039,Unknown
1040,Unknown
1041,Unknown
1042,Unknown
1043,Unknown
1044,Discotek Media
1045,ADV Films
1045,Sentai Filmworks
1046,ADV Films
1046,Sentai Filmworks
1047,Unknown
1048,Geneon Entertainment USA
1049,Unknown
1050,Discotek Media
1051,Bandai Entertainment
1051,Discotek Media
1052,Media Blasters
1053,Unknown
1055,Media Blasters
1056,Unknown
1057,Unknown
1058,ADV Films
1059,Unknown
1060,Unknown
1062,Unknown
1064,ADV Films
1065,Unknown
1066,Geneon Universal Entertainment
1066,Funimation
1067,Unknown
1068,Discotek Media
1069,Discotek Media
1070,Unknown
1071,Unknown
1072,Unknown
1074,Unknown
1075,Unknown
1076,Unknown
1078,Discotek Media
1078,Geneon Entertainment USA
1079,Funimation
1079,Geneon Entertainment USA
1080,Bandai Entertainment
1081,Geneon Entertainment USA
1082,Sentai Filmworks
1082,Geneon Entertainment USA
1083,Maiden Japan
1083,Geneon Entertainment USA
1084,VIZ Media
1085,Geneon Entertainment USA
1086,Bandai Entertainment
1087,AnimEigo
1087,Discotek Media
1088,ADV Films
1088,AnimEigo
1089,Unknown
1090,Nozomi Entertainment
1090,Bandai Entertainment
1091,Nozomi Entertainment
1091,Bandai Entertainment
1092,Nozomi Entertainment
1092,Bandai Entertainment
1093,Unknown
1094,Unknown
1095,Maiden Japan
1095,Manga Entertainment
1095,Bandai Visual USA
1096,Maiden Japan
1096,Manga Entertainment
1096,Bandai Visual USA
1097,Unknown
1098,Tokyopop
1099,Unknown
1100,Unknown
1101,Funimation
1101,Geneon Entertainment USA
1102,Media Blasters
1103,ADV Films
1103,Sentai Filmworks
1104,ADV Films
1104,Sentai Filmworks
1105,Unknown
1106,Unknown
1107,Discotek Media
1107,Urban Vision
1108,ADV Films
1108,Discotek Media
1109,VIZ Media
1110,Unknown
1111,Funimation
1112,Funimation
1113,Media Blasters
1115,Unknown
1116,Bandai Entertainment
1117,4Kids Entertainment
1117,Warner Bros. Japan
1118,4Kids Entertainment
1118,Warner Bros. Japan
1119,4Kids Entertainment
1119,Miramax Films
1120,4Kids Entertainment
1120,Miramax Films
1121,4Kids Entertainment
1121,Miramax Films
1122,4Kids Entertainment
1122,Miramax Films
1123,Unknown
1124,Funimation
1124,Bandai Entertainment
1126,Media Blasters
1127,ADV Films
1128,ADV Films
1129,ADV Films
1130,ADV Films
1132,Flatiron Film Company
1133,Funimation
1135,Central Park Media
1136,Bandai Entertainment
1136,Sentai Filmworks
1137,Saban Entertainment
1138,ADV Films
1138,Discotek Media
1138,Shout! Factory
1139,Bandai Entertainment
1139,Discotek Media
1140,Funimation
1141,ADV Films
1142,VIZ Media
1142,Discotek Media
1143,Bandai Entertainment
1144,Funimation
1144,Geneon Entertainment USA
1145,Bandai Entertainment
1146,Funimation
1146,Geneon Entertainment USA
1147,Funimation
1148,ADV Films
1149,ADV Films
1150,Unknown
1151,Central Park Media
1152,Maiden Japan
1153,ADV Films
1153,Discotek Media
1154,Unknown
1155,Bandai Entertainment
1156,ADV Films
1157,ADV Films
1158,Central Park Media
1159,Unknown
1160,Media Blasters
1161,Central Park Media
1162,Central Park Media
1163,ADV Films
1164,ADV Films
1165,ADV Films
1166,ADV Films
1167,ADV Films
1168,Nozomi Entertainment
1169,Sentai Filmworks
1169,Geneon Entertainment USA
1170,ADV Films
1171,ADV Films
1172,Funimation
1172,Central Park Media
1174,Central Park Media
1175,Media Blasters
1175,Central Park Media
1176,Central Park Media
1177,Central Park Media
1178,Central Park Media
1179,Nozomi Entertainment
1180,Unknown
1181,ADV Films
1181,Maiden Japan
1182,Media Blasters
1182,Central Park Media
1183,ADV Films
1184,ADV Films
1184,Nozomi Entertainment
1185,Geneon Entertainment USA
1186,Geneon Entertainment USA
1187,Central Park Media
1187,Discotek Media
1188,Unknown
1189,Unknown
1190,Unknown
1191,Bandai Entertainment
1192,Central Park Media
1193,Unknown
1194,ADV Films
1194,Funimation
1195,Funimation
1195,Sentai Filmworks
1195,Geneon Entertainment USA
1196,Unknown
